City/Town,Dropbox Address,Instructions,Instructions Part 1,Concatenated,Election Office,Number,QAer,Zip,How was this information gathered?(inlcude link if found on web),Name ,Email,Campaign Email Info,Campaign Number Info,No Drop Box Ask,Where is the Drop Box located?,Has Dropbox? ,No Info
TYNGSBOROUGH,25 Bryant Ln,"The dropbox is located outside and nearest the front door of the building. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is located outside and nearest the front door of the building.,"The dropbox is located outside and nearest the front door of the building. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-649-2300 x 129,Ahmad,,,,jshifres@tyngsboroughma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
WALES,Please contact your town clerk at the contact information below to find out where to drop your ballot.,"townclerk@townofwales.net You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",townclerk@townofwales.net,"townclerk@townofwales.net You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-245-7571 x 101,Malia,,,,townclerk@townofwales.net,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
PLYMPTON,"3 Palmer Rd, Town Hall"," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-585-3220,Ahmad,,Kathy LaNatra,,town_clerk@town.plympton.ma.us,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,Yes,x
LEICESTER,3 Washburn Square,"davisd@leicesterma.org You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",davisd@leicesterma.org,"davisd@leicesterma.org You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-892-7011,Ahmad,,,,davisd@leicesterma.org,Direct email option,(508) 892-7011,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
WILLIAMSTOWN,31 North St,"There is no dropbox; you must sumbit your ballot to the mail slot beside the front entrance. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",There is no dropbox; you must sumbit your ballot to the mail slot beside the front entrance.,"There is no dropbox; you must sumbit your ballot to the mail slot beside the front entrance. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-458-9341,Ahmad,,,,npedercini@williamstownma.gov,mkennedy@williamstownma.gov,(413) 458-3500,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
BROOKLINE,333 Washington Street,"The dropbox is by the front door of the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is by the front door of the town hall.,"The dropbox is by the front door of the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",617-730-2010,Ahmad,2445,,,pward@brooklinema.gov,pward@brooklinema.gov,617-730-2010,,,Yes,
WEBSTER,350 Main St,"The dropbox is beside the parking lot ramp of the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is beside the parking lot ramp of the town hall.,"The dropbox is beside the parking lot ramp of the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-949-3800 x 4003,Ahmad,,,,bcraver@webster-ma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
STOW,380 Great Road,"You can drop your ballot in the dropbox located in front of the Town Building (the main office building), or in the mail slot of the front door. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can drop your ballot in the dropbox located in front of the Town Building (the main office building), or in the mail slot of the front door.","You can drop your ballot in the dropbox located in front of the Town Building (the main office building), or in the mail slot of the front door. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",978-897-5034,Malia,,,,townclerk@stow-ma.gov,townclerk@stow-ma.gov,(978) 897-5034,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
ABINGTON,"500 Gliniewicz Way

","The dropbox is beside the front entrance of the town hall.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is beside the front entrance of the town hall. ,"The dropbox is beside the front entrance of the town hall.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-982-2112,Ahmad,,,,lmadams@abingtonma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
TISBURY,51 Spring St.,"There is no dropbox; you must deliver your ballot at the service window at the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",There is no dropbox; you must deliver your ballot at the service window at the town hall.,"There is no dropbox; you must deliver your ballot at the service window at the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-696-4215,Ahmad,(zero)2568,email,Hillary Conklin,hconklin@tisburyma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,No,
WHITMAN,54 South Ave,"The dropbox is located near the accessibility entrance. It is 4 feet tall and hard to miss.

 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","The dropbox is located near the accessibility entrance. It is 4 feet tall and hard to miss.

","The dropbox is located near the accessibility entrance. It is 4 feet tall and hard to miss.

 You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-618-9710,Ahmad,,,,dawn.varley@whitman-ma.gov,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
AVON,65 East Main Street ," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",," You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-588-0414 x 1013,Ahmad,,,Patricia Bessette,pbessette@avon-ma.gov,,,,"We know that you have a drop box for ballots.  Can you explain where it's located at the given address? (Record in ""Instructions"" Column L)",Yes,y
PITTSFIELD,70 Allen St,"The dropbox is beside the front entrance of the town hall, leading up to staircase at door in lot in between city hall and Highland Restaurant. It is a large and black. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","The dropbox is beside the front entrance of the town hall, leading up to staircase at door in lot in between city hall and Highland Restaurant. It is a large and black.","The dropbox is beside the front entrance of the town hall, leading up to staircase at door in lot in between city hall and Highland Restaurant. It is a large and black. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-499-9460,Ahmad,,,,mbenjamin@cityofpittsfield.org,mbenjamin@cityofpittsfield.org,413-499-9361,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
SWANSEA,81 Main Street,"Dropbox is being ordered, accepting ballots at the Swansea Town Hall – side door. Anyone delivering ballots is asked to call our office when they get here and we will meet them at the door to accept because we are still closed to the public. Accepting ballots Mon-Fri from 9am to 4pm and until 5pm on Wednesday. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","Dropbox is being ordered, accepting ballots at the Swansea Town Hall – side door. Anyone delivering ballots is asked to call our office when they get here and we will meet them at the door to accept because we are still closed to the public. Accepting ballots Mon-Fri from 9am to 4pm and until 5pm on Wednesday.","Dropbox is being ordered, accepting ballots at the Swansea Town Hall – side door. Anyone delivering ballots is asked to call our office when they get here and we will meet them at the door to accept because we are still closed to the public. Accepting ballots Mon-Fri from 9am to 4pm and until 5pm on Wednesday. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-678-9389 x 2,Ahmad,(zero)2777,email,Diane Pelland,dpelland@town.swansea.ma.us,,508-678-9389 x 2,Do you have a secure drop box for ballots?  What is the address and location on site?,,No,
MARSHFIELD,870 Moraine Street,"There is no dropbox; you must deliver your ballot at the town clerk's service window. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",There is no dropbox; you must deliver your ballot at the town clerk's service window.,"There is no dropbox; you must deliver your ballot at the town clerk's service window. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-834-5540,Ahmad,2050,https://marshfield.wickedlocal.com/news/20200531/town-clerks-push-early-voting,Narice Casper,ncasper@townofmarshfield.org,Direct email option,,,,Yes,
BRIDGEWATER,Academy Building: 66 Central Square ,"The dropbox is beside the side entrance nearest the accessibility ramp at the Bedford Street parking lot. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is beside the side entrance nearest the accessibility ramp at the Bedford Street parking lot.,"The dropbox is beside the side entrance nearest the accessibility ramp at the Bedford Street parking lot. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-697-0921,Ahmad,,,,townclerk@bridgewaterma.org,,,Do you have a secure drop box for ballots?  What is the address and location on site?,,,x
BOURNE,"Back of Town Hall in secure black box, 24 Perry Avenue","The dropbox is outside and behind the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is outside and behind the town hall.,"The dropbox is outside and behind the town hall. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",508-759-0600 x 1505,Ahmad,,Through a volunteer,,bjohnson@townofbourne.com,Direct email option,,,,Yes,
CAMBRIDGE,"Cambridge Elections Commission, 51 Inman St, Cambridge","The dropbox is available daily from 8 a.m. - 8 p.m. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",The dropbox is available daily from 8 a.m. - 8 p.m.,"The dropbox is available daily from 8 a.m. - 8 p.m. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",617-349-4361,Ahmad,2139,https://www.cambridgema.gov/covid19/Voting,Lesley Waxman,elections2@cambridgema.gov,cityclerk@cambridgema.gov, 617-349-4260,,,Yes,
WOBURN,"City Hall, 10 Common St","The dropbox is toward the rear of city hall, to the right of the door which is marked with signs.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","The dropbox is toward the rear of city hall, to the right of the door which is marked with signs. ","The dropbox is toward the rear of city hall, to the right of the door which is marked with signs.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",781-897-5850,Ahmad,1801,https://www.woburnma.gov/news/2020/08/state-primary-election-2020-early-voting-mail-in-ballots-and-voter-registration/,,wcampbell@cityofwoburn.com,wcampbell@cityofwoburn.com,,,,Yes,
NORTH ADAMS,"City Hall, 10 Main Street ","There are two dropboxes; one is by the fron entrance of city hall and the other is at the side entrance.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",There are two dropboxes; one is by the fron entrance of city hall and the other is at the side entrance. ,"There are two dropboxes; one is by the fron entrance of city hall and the other is at the side entrance.  You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice. You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.","You can also drop your ballot off at your local election office, which you can find here: http://edmarkey.us/electionoffice.",413-662-3000 x 1,Ahmad,1247,SOS,,city_clerk@northadams-ma.gov,city_clerk@northadams-ma.gov,413-662-3000 x3015,,,Yes,
